"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"67071";"1050010";"A025359";"PV31  ";"2022JJ00";"   176.9";"      33";"    30.1";"    26.7";"    37.6";"    32.5";"       5";"      13";"      20";"      17";"      13";"      10";"       8";"       6";"       4";"       3"
"67072";"1050010";"A025359";"PV31  ";"2023JJ00";"   180.1";"      34";"    33.6";"    28.9";"    42.1";"    35.2";"       5";"      14";"      20";"      16";"      13";"      10";"       8";"       6";"       4";"       3"
"67073";"1050010";"A025359";"PV31  ";"2024JJ00";"   183.2";"      34";"    35.7";"    30.9";"    44.8";"    37.5";"       5";"      14";"      20";"      16";"      12";"      10";"       8";"       6";"       4";"       4"
"72992";"1050010";"1013400";"PV20  ";"2021JJ00";"   154.6";"      53";"    30.6";"    30.0";"    44.6";"    41.5";"      14";"       6";"       8";"      10";"      12";"      12";"      12";"      11";"      10";"       6"
"72993";"1050010";"1013400";"PV20  ";"2022JJ00";"   158.2";"      54";"    31.9";"    31.5";"    46.4";"    43.1";"      15";"       6";"       9";"      10";"      12";"      12";"      11";"      11";"      10";"       6"
"72994";"1050010";"1013400";"PV20  ";"2023JJ00";"   158.5";"      54";"    34.8";"    34.1";"    50.6";"    46.7";"      14";"       5";"       9";"      11";"      11";"      12";"      11";"      11";"      10";"       6"
"72995";"1050010";"1013400";"PV20  ";"2024JJ00";"   159.0";"      53";"    37.6";"    36.8";"    54.5";"    50.1";"      12";"       6";"       8";"      11";"      12";"      12";"      12";"      11";"      10";"       6"
"73006";"1050010";"1013400";"PV21  ";"2021JJ00";"   145.6";"      50";"    32.9";"    31.7";"    50.2";"    47.8";"       5";"       5";"       9";"      11";"      13";"      14";"      14";"      12";"      10";"       6"
"73007";"1050010";"1013400";"PV21  ";"2022JJ00";"   148.7";"      50";"    34.4";"    33.3";"    52.5";"    50.0";"       6";"       5";"       9";"      11";"      13";"      14";"      14";"      12";"      10";"       6"
"73008";"1050010";"1013400";"PV21  ";"2023JJ00";"   149.6";"      50";"    37.3";"    35.9";"    56.8";"    54.0";"       5";"       5";"       9";"      12";"      13";"      14";"      13";"      13";"      10";"       6"
"73009";"1050010";"1013400";"PV21  ";"2024JJ00";"   150.3";"      50";"    40.1";"    38.7";"    61.0";"    57.9";"       4";"       5";"       9";"      12";"      13";"      14";"      13";"      13";"      11";"       6"
"73020";"1050010";"1013400";"PV22  ";"2021JJ00";"   107.3";"      49";"    34.8";"    33.2";"    53.9";"    51.4";"       3";"       4";"       8";"      10";"      13";"      14";"      14";"      14";"      12";"       7"
