"ID";"Inkomensbegrippen";"Inkomensklassen";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"PersonenPerHuishouden_2";"PersonenMetInkomenPerHuishouden_3";"GemiddeldInkomen_4";"MediaanInkomen_5"
"277";"A043964";"T001226";"A025343";"2022JJ00";"2464.6";"2.4";"1.6";"83.1";"73.5"
"278";"A043964";"T001226";"A025343";"2023JJ00";"2529.2";"2.4";"1.6";"89.4";"77.5"
"279";"A043964";"T001226";"A025343";"2024JJ00";"2563.4";"2.4";"1.6";"93.5";"81.5"
"287";"A043964";"T001226";"A025351";"2018JJ00";"2935.7";"2.5";"2.1";"78.2";"66.3"
"288";"A043964";"T001226";"A025351";"2019JJ00";"2942.6";"2.5";"2.1";"85.1";"69.9"
"289";"A043964";"T001226";"A025351";"2020JJ00";"2942.8";"2.5";"2.1";"85.3";"71.8"
"290";"A043964";"T001226";"A025351";"2021JJ00";"2938.4";"2.4";"2.1";"89";"74.5"
"291";"A043964";"T001226";"A025351";"2022JJ00";"2926.7";"2.4";"2.1";"96.4";"80.7"
"292";"A043964";"T001226";"A025351";"2023JJ00";"2926.4";"2.4";"2.1";"109.4";"86.1"
"293";"A043964";"T001226";"A025351";"2024JJ00";"2915.1";"2.4";"2.1";"114.4";"91.5"
"301";"A043964";"T001226";"A025359";"2018JJ00";"2102.9";"1.6";"1.5";"10.6";"4.3"
"302";"A043964";"T001226";"A025359";"2019JJ00";"2151.8";"1.6";"1.5";"12.9";"4.8"
"303";"A043964";"T001226";"A025359";"2020JJ00";"2198.3";"1.6";"1.5";"12.1";"5"
"304";"A043964";"T001226";"A025359";"2021JJ00";"2242.4";"1.6";"1.5";"12.5";"5.4"
"305";"A043964";"T001226";"A025359";"2022JJ00";"2288.2";"1.6";"1.5";"14.1";"5.7"
"306";"A043964";"T001226";"A025359";"2023JJ00";"2335.4";"1.6";"1.5";"19.8";"6"
"307";"A043964";"T001226";"A025359";"2024JJ00";"2380.8";"1.6";"1.5";"21.1";"6.5"
"315";"A043964";"T001226";"A025342";"2018JJ00";"1152.6";"2";"1.5";"57.9";"52.8"
"316";"A043964";"T001226";"A025342";"2019JJ00";"1175.4";"2";"1.5";"61.4";"55.5"
"317";"A043964";"T001226";"A025342";"2020JJ00";"1198";"2";"1.5";"63.5";"57.6"
"318";"A043964";"T001226";"A025342";"2021JJ00";"1204.4";"2";"1.5";"67.1";"60.5"
"319";"A043964";"T001226";"A025342";"2022JJ00";"1225";"2";"1.5";"73";"65.6"
"320";"A043964";"T001226";"A025342";"2023JJ00";"1253.6";"1.9";"1.5";"78";"69.2"
"321";"A043964";"T001226";"A025342";"2024JJ00";"1266.6";"1.9";"1.5";"81.7";"72.6"
"329";"A043964";"T001226";"A025347";"2018JJ00";"1202.4";"2.9";"1.7";"76.7";"68.7"
"330";"A043964";"T001226";"A025347";"2019JJ00";"1200.9";"2.9";"1.7";"81.2";"71.7"
"331";"A043964";"T001226";"A025347";"2020JJ00";"1209";"2.9";"1.7";"82.4";"73.5"
"332";"A043964";"T001226";"A025347";"2021JJ00";"1220.4";"2.9";"1.7";"86.1";"76.5"
"333";"A043964";"T001226";"A025347";"2022JJ00";"1239.6";"2.9";"1.8";"93";"82.6"
"334";"A043964";"T001226";"A025347";"2023JJ00";"1275.5";"2.9";"1.8";"100.5";"87.2"
"335";"A043964";"T001226";"A025347";"2024JJ00";"1296.8";"2.9";"1.8";"104.9";"91.9"
"343";"A043964";"T001226";"A025350";"2018JJ00";"1540";"2.8";"2.2";"85.4";"74"
"344";"A043964";"T001226";"A025350";"2019JJ00";"1520.4";"2.8";"2.2";"92.4";"77.7"
"345";"A043964";"T001226";"A025350";"2020JJ00";"1493.3";"2.8";"2.2";"92.8";"79.8"
"346";"A043964";"T001226";"A025350";"2021JJ00";"1464.5";"2.8";"2.3";"97";"83.1"
"347";"A043964";"T001226";"A025350";"2022JJ00";"1438.4";"2.8";"2.3";"105.1";"89.8"
"348";"A043964";"T001226";"A025350";"2023JJ00";"1418.7";"2.8";"2.3";"117.6";"95.6"
"349";"A043964";"T001226";"A025350";"2024JJ00";"1393.8";"2.8";"2.3";"122.4";"101"
"357";"A043964";"T001226";"A025354";"2018JJ00";"1395.7";"2.1";"1.9";"70.1";"57.5"
"358";"A043964";"T001226";"A025354";"2019JJ00";"1422.2";"2.1";"1.9";"77.2";"61.4"
"359";"A043964";"T001226";"A025354";"2020JJ00";"1449.5";"2.1";"1.9";"77.5";"63.5"
"360";"A043964";"T001226";"A025354";"2021JJ00";"1473.9";"2.1";"1.9";"80.9";"66"
"361";"A043964";"T001226";"A025354";"2022JJ00";"1488.3";"2.1";"2";"87.9";"71.7"
"362";"A043964";"T001226";"A025354";"2023JJ00";"1507.6";"2.1";"2";"101.7";"77.2"
"363";"A043964";"T001226";"A025354";"2024JJ00";"1521.3";"2.1";"2";"107.1";"82.9"
"371";"A043964";"T001226";"A025358";"2018JJ00";"1160.6";"1.7";"1.6";"13.9";"5.5"
"372";"A043964";"T001226";"A025358";"2019JJ00";"1182.8";"1.7";"1.6";"17.3";"5.8"
"373";"A043964";"T001226";"A025358";"2020JJ00";"1201.4";"1.7";"1.6";"16.3";"6.1"
"374";"A043964";"T001226";"A025358";"2021JJ00";"1226.1";"1.7";"1.6";"16.9";"6.3"
"375";"A043964";"T001226";"A025358";"2022JJ00";"1218.9";"1.7";"1.6";"19.4";"6.6"
"376";"A043964";"T001226";"A025358";"2023JJ00";"1219.8";"1.7";"1.6";"26.7";"7"
"377";"A043964";"T001226";"A025358";"2024JJ00";"1226.9";"1.7";"1.6";"29.2";"7.7"
"385";"A043964";"T001226";"A042086";"2018JJ00";"686.3";"1.5";"1.5";"7.1";"2.5"
"386";"A043964";"T001226";"A042086";"2019JJ00";"707.6";"1.5";"1.5";"8.4";"3.3"
"387";"A043964";"T001226";"A042086";"2020JJ00";"730.4";"1.5";"1.5";"7.5";"3.9"
"388";"A043964";"T001226";"A042086";"2021JJ00";"745.4";"1.5";"1.5";"7.8";"4.4"
"389";"A043964";"T001226";"A042086";"2022JJ00";"794.5";"1.5";"1.5";"8.7";"4.8"
"390";"A043964";"T001226";"A042086";"2023JJ00";"838";"1.5";"1.5";"13.7";"5.1"
"391";"A043964";"T001226";"A042086";"2024JJ00";"868.7";"1.5";"1.5";"13.6";"5.6"
"399";"A043964";"T001226";"A042087";"2018JJ00";"256.1";"1.3";"1.3";"5.1";"0.1"
"400";"A043964";"T001226";"A042087";"2019JJ00";"261.3";"1.3";"1.3";"5.6";"0"
"401";"A043964";"T001226";"A042087";"2020JJ00";"266.5";"1.3";"1.3";"5.6";"0"
"402";"A043964";"T001226";"A042087";"2021JJ00";"271";"1.3";"1.3";"5.6";"0"
"403";"A043964";"T001226";"A042087";"2022JJ00";"274.8";"1.3";"1.3";"5.9";"0"
"404";"A043964";"T001226";"A042087";"2023JJ00";"277.6";"1.3";"1.3";"8.2";"0.6"
"405";"A043964";"T001226";"A042087";"2024JJ00";"285.2";"1.3";"1.3";"8.8";"1.3"
"413";"A043964";"T001226";"A025362";"2018JJ00";"6046.7";"2.2";"1.8";"56.4";"41.5"
"414";"A043964";"T001226";"A025362";"2019JJ00";"6055";"2.2";"1.8";"61";"43.8"
"415";"A043964";"T001226";"A025362";"2020JJ00";"6059.6";"2.1";"1.8";"61";"44.5"
"416";"A043964";"T001226";"A025362";"2021JJ00";;;;;
"417";"A043964";"T001226";"A025362";"2022JJ00";;;;;
"418";"A043964";"T001226";"A025362";"2023JJ00";;;;;
"419";"A043964";"T001226";"A025362";"2024JJ00";;;;;
"427";"A043964";"T001226";"A025363";"2018JJ00";"833.7";"2";"1.6";"50.6";"31.8"
"428";"A043964";"T001226";"A025363";"2019JJ00";"858.1";"2";"1.6";"54.8";"34.1"
"429";"A043964";"T001226";"A025363";"2020JJ00";"884";"2";"1.6";"55.3";"35.1"
"430";"A043964";"T001226";"A025363";"2021JJ00";;;;;
"431";"A043964";"T001226";"A025363";"2022JJ00";;;;;
"432";"A043964";"T001226";"A025363";"2023JJ00";;;;;
"433";"A043964";"T001226";"A025363";"2024JJ00";;;;;
"441";"A043964";"T001226";"A025368";"2018JJ00";"880.3";"2.4";"1.7";"39.1";"25.5"
"442";"A043964";"T001226";"A025368";"2019JJ00";"914.2";"2.4";"1.7";"42.6";"28.5"
